parameter,PRCC_reserve,PRCC_hazard
rho,0.9472125532318945,-0.9200749386955132
ug,-0.9250518225456659,0.9383688180436286
kg,0.8023601904723371,-0.8299152733901255
ag,-0.7939406796545093,0.8236927345491964
da,-0.6129600182988891,0.5256878422226942
ka,0.5922898310534231,-0.6348812512607738
fg,-0.5565749511115037,0.6100829660092657
df,-0.5157468280645513,0.4367405906725661
kf,0.4727977970738154,-0.5253930190393605
ca,-0.4496536773853688,0.4811146928064978
dc,-0.3228993804496263,0.2611516180015121
kc,0.26863836278088554,-0.2937326632302976
