parameter,elasticity_reserve,elasticity_hazard
rho,0.6168954089012938,-0.619822711033265
ug,-0.5050351933369625,0.6837994432070301
kg,0.48493724961326695,-0.6597484591011578
ag,-0.31479082627529037,0.4275685571145122
ka,0.23403577766367123,-0.3191484690850589
da,-0.20411212505977544,0.2055378572291969
kf,0.14331398301332185,-0.2010334364876215
df,-0.1291676769757204,0.13011192493559295
fg,-0.11124366442435195,0.15558747561295355
ca,-0.09996883010589863,0.13508497063292374
kc,0.09544233112438111,-0.12887841966549604
dc,-0.07221211102791178,0.07275006122698212
