table,section,item,final_G,final_A,final_C,final_F,final_M,final_R,reserve_potential,risk_surface,hazard,regime,minimum_state,maximum_state,hazard_reduction_pct,reserve_gain_pct,ug,parameter,PRCC_reserve,PRCC_hazard,elasticity_reserve,elasticity_hazard,rtol,atol,A0,F0
scenario,scenario,Reference,0.40337660469587056,0.196993586958168,0.09623759945685108,0.15258013371473192,0.12173796146100563,0.5941505290758089,0.4230751422965437,-0.12974788521693353,0.4407834482340205,Constrained,0.08512646629752198,0.74,0.0,0.0,,,,,,,,,,
scenario,scenario,Glycaemic input reduced 30%,0.3212559937545123,0.1614840892154528,0.07975981870676102,0.12645124785438963,0.09956916603134627,0.6382052391537487,0.4989843295078048,-0.18345546238744412,0.33902465660466946,Preserved,0.07870964943856493,0.74,23.085892185163296,17.942247043683437,,,,,,,,,,
scenario,scenario,Albuminuric propagation reduced 35%,0.40337660470295256,0.14412320815643268,0.07729375325250076,0.1369220915160028,0.11763480888821246,0.6242094088162404,0.47345121188172323,-0.16554735776905305,0.3718288806620542,Preserved,0.07468986455248659,0.74,15.643638128480031,11.90712111132961,,,,,,,,,,
scenario,scenario,Frailty coupling reduced 30%,0.40337660470612324,0.1915745991884812,0.09254095921303603,0.11027272669400631,0.11267112533931983,0.6110711861981467,0.45079322800686117,-0.15012904127694807,0.40106433674825165,Preserved,0.08449075963464014,0.74,9.011026082059505,6.551575107877453,,,,,,,,,,
scenario,scenario,Reserve restoration added,0.40337660468861175,0.18934186880910978,0.0904448417707575,0.14580836632015906,0.11714733526891259,0.6749671807038176,0.5087330682741987,-0.17516978746632175,0.35403299771943825,Preserved,0.08361438247113334,0.74,19.680968253718262,20.24650408735555,,,,,,,,,,
scenario,scenario,Combined multi-domain strategy,0.32125599376602726,0.108333072586748,0.05704410582285127,0.07717923979577025,0.08586263345146786,0.7549515136597128,0.6440752461061366,-0.27084794597978756,0.20314000652199965,Preserved,0.05704410582285127,0.7549515136597128,53.91387600059141,52.23660804318505,,,,,,,,,,
continuation,,,0.19105574514939852,0.10226717795321409,0.0528485138060463,0.08359292084195802,0.06376312323240138,0.7200682122858899,0.6325750527245267,-0.27532284394709516,0.19740658761923535,Preserved,0.0528485138060463,0.74,,,0.08,,,,,,,,,
continuation,,,0.20048773978791234,0.10666175365909644,0.054820717291780355,0.08674517976890993,0.0663745214936323,0.713600991736299,0.6223191739573423,-0.2683809134318131,0.20635352014746788,Preserved,0.054820717291780355,0.74,,,0.085,,,,,,,,,
continuation,,,0.2097082504591829,0.11094336367751764,0.05674609443041546,0.08982055927881644,0.06892551544857567,0.7073635118479276,0.6123834519495716,-0.2616388772831141,0.2153267042005177,Preserved,0.05674609443041546,0.74,,,0.09,,,,,,,,,
continuation,,,0.21872394585614482,0.11511572882398191,0.05862601575984515,0.09282146523235844,0.07141788553732427,0.701344690273879,0.6027539530311894,-0.25508866367948957,0.2243125442900909,Preserved,0.05862601575984515,0.74,,,0.095,,,,,,,,,
